# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
1                        0.018
2                        0.040
4                        0.081
8                        0.160
16                       0.319
32                       0.638
64                       1.245
128                      2.551
256                      5.139
512                     10.151
1024                    20.293
2048                    37.534
4096                    61.698
8192                    88.819
16384                  139.136
32768                  166.596
65536                  315.243
131072                 438.043
262144                 594.870
524288                 758.334
1048576                862.798
2097152                964.348
4194304               1068.222
