# OSU OpenSHMEM Put Message Rate (MB/s) Test
# Size                    MB/s
1                        0.016
2                        0.034
4                        0.068
8                        0.135
16                       0.253
32                       0.545
64                       1.077
128                      2.145
256                      4.005
512                      8.573
1024                    17.194
2048                    28.265
4096                    51.564
8192                    97.170
16384                  176.954
32768                  295.536
65536                  436.148
131072                 645.261
262144                 826.501
524288                1031.992
1048576               1189.825
2097152               1309.620
4194304               1360.655
