# OSU OpenSHMEM Get_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.074
2                        0.247
4                        0.273
8                        0.891
16                       3.638
32                       6.074
64                       8.589
128                      8.143
256                     15.576
512                     58.617
1024                    64.121
2048                   123.350
4096                   430.488
8192                   531.463
16384                  674.655
32768                  718.391
65536                  616.614
131072                 932.836
262144                 828.583
524288                 471.841
1048576                468.797
2097152               1282.364
4194304               1206.666
