# OSU OpenSHMEM Put_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.056
2                        0.206
4                        0.507
8                        1.203
16                       1.094
32                       2.241
64                       3.506
128                      8.682
256                     14.807
512                     26.339
1024                    56.331
2048                   110.458
4096                   238.739
8192                   300.481
16384                  467.814
32768                  724.386
65536                  831.781
131072                1048.834
262144                1294.800
524288                1615.822
1048576               1757.407
2097152               1799.759
4194304               1800.358
