# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
1                        0.011
2                        0.035
4                        0.050
8                        0.103
16                       0.292
32                       0.586
64                       1.149
128                      2.312
256                      4.571
512                      9.002
1024                    18.260
2048                    35.287
4096                    57.698
8192                    94.354
16384                  167.614
32768                  266.502
65536                  382.076
131072                 471.769
262144                 617.040
524288                 797.194
1048576                907.853
2097152                947.885
4194304               1079.698
