# OSU OpenSHMEM Get_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.091
2                        0.265
4                        0.447
8                        0.758
16                       0.974
32                       3.707
64                       3.419
128                     15.507
256                     31.461
512                     52.290
1024                    82.147
2048                    97.267
4096                   324.925
8192                   285.128
16384                  544.046
32768                  532.549
65536                  431.213
131072                 820.641
262144                 928.126
524288                1048.922
1048576               1180.610
2097152               1098.575
4194304               1197.834
