# OSU OpenSHMEM Put_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.108
2                        0.135
4                        0.398
8                        0.973
16                       1.590
32                       3.269
64                       5.701
128                      8.397
256                     16.357
512                     23.819
1024                    50.479
2048                   106.519
4096                   229.915
8192                   295.480
16384                  494.775
32768                  718.721
65536                  820.425
131072                1031.353
262144                1287.333
524288                1611.240
1048576               1778.663
2097152               1804.273
4194304               1816.530
