# OSU OpenSHMEM Put Message Rate (MB/s) Test
# Size                    MB/s
1                        0.015
2                        0.025
4                        0.052
8                        0.149
16                       0.356
32                       0.709
64                       1.424
128                      2.889
256                      5.833
512                     11.682
1024                    23.245
2048                    38.930
4096                    64.823
8192                   131.082
16384                  218.899
32768                  371.052
65536                  523.538
131072                 717.896
262144                1212.886
524288                1594.998
1048576               1953.354
2097152               2221.679
4194304               2484.873
