# OSU OpenSHMEM Put_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.043
2                        0.149
4                        0.534
8                        1.111
16                       1.543
32                       3.075
64                       6.758
128                     14.099
256                     38.327
512                     79.395
1024                   214.252
2048                   278.064
4096                   636.612
8192                   535.103
16384                  775.819
32768                  958.589
65536                 1291.856
