# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
1                        0.017
2                        0.039
4                        0.078
8                        0.156
16                       0.311
32                       0.626
64                       1.253
128                      2.496
256                      4.937
512                      9.895
1024                    19.717
2048                    35.421
4096                    67.994
8192                    87.466
16384                  188.982
32768                  250.401
65536                  297.194
