# OSU OpenSHMEM Get_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.106
2                        0.572
4                        0.981
8                        2.181
16                       4.520
32                       8.147
64                      15.206
128                     28.954
256                     39.213
512                     87.506
1024                   144.419
2048                   202.354
4096                   497.231
8192                   527.159
16384                  564.079
32768                  828.034
65536                 1010.673
