# OSU OpenSHMEM Put Message Rate (MB/s) Test
# Size                    MB/s
1                        0.024
2                        0.049
4                        0.097
8                        0.194
16                       0.391
32                       0.779
64                       1.534
128                      3.078
256                      6.207
512                     12.387
1024                    24.415
2048                    41.063
4096                    78.711
8192                   135.681
16384                  262.605
32768                  503.545
65536                  745.290
