# OSU OpenSHMEM Put_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.089
2                        0.291
4                        0.471
8                        0.739
16                       1.295
32                       4.855
64                       4.254
128                      7.550
256                     24.933
512                     37.092
1024                   111.276
2048                   112.897
4096                   201.229
8192                   273.931
16384                  460.100
32768                  692.598
65536                  496.584
131072                1190.930
262144                1351.497
524288                1674.705
1048576               1743.132
2097152               1806.848
4194304               1825.484
