# OSU OpenSHMEM Get_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.066
2                        0.376
4                        0.718
8                        1.298
16                       1.280
32                       3.348
64                       5.728
128                      7.837
256                     33.371
512                     36.957
1024                    59.736
2048                   256.923
4096                   286.088
8192                   224.626
16384                  342.804
32768                  544.995
65536                  735.467
131072                 838.476
262144                 447.724
524288                 722.314
1048576               1001.583
2097152               1016.085
4194304                995.391
