# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
1                        0.016
2                        0.039
4                        0.078
8                        0.157
16                       0.311
32                       0.624
64                       1.244
128                      2.496
256                      4.968
512                      9.951
1024                    20.016
2048                    35.408
4096                    67.909
8192                    98.493
16384                  151.699
32768                  215.755
65536                  321.139
131072                 422.126
262144                 354.278
524288                 760.479
1048576                839.941
2097152                939.355
4194304                958.281
