# OSU OpenSHMEM Put Message Rate (MB/s) Test
# Size                    MB/s
1                        0.017
2                        0.031
4                        0.067
8                        0.134
16                       0.268
32                       0.500
64                       1.001
128                      2.130
256                      4.282
512                      8.527
1024                    15.768
2048                    27.791
4096                    54.162
8192                    95.321
16384                  188.389
32768                  294.533
65536                  438.105
131072                 609.935
262144                 799.386
524288                1033.827
1048576               1201.865
2097152               1313.249
4194304               1432.121
