RevCPU[cpu0:RevCPU:0]: Building Rev with 1 cores and 1 hart(s) on each core 
RevCPU[cpu0:RevCPU:0]: Initialization of RevCPUs complete.
RevCPU[cpu1:RevCPU:0]: Building Rev with 1 cores and 1 hart(s) on each core 
RevCPU[cpu1:RevCPU:0]: Initialization of RevCPUs complete.
# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
---------1                   0.434
---------2                   0.845
---------4                   1.705
---------8                   3.320
--------16                   3.500
--------32                   3.651
--------64                   3.662
-------128                   3.712
-------256                   3.720
-------512                   3.725
------1024                   3.727
------2048                   3.728
------4096                   3.728
------8192                   3.729
-----16384                   3.729
-----32768                   3.729
-----65536                   3.729
Simulation is complete, simulated time: 276.157 ms
