# OSU OpenSHMEM Put_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.070
2                        0.206
4                        0.379
8                        0.782
16                       1.893
32                       3.356
64                       6.712
128                     15.324
256                     26.531
512                     58.463
1024                   128.225
2048                   280.702
4096                   632.079
8192                   591.856
16384                  949.271
32768                 1132.246
65536                 1365.225
