# OSU OpenSHMEM Put Message Rate (MB/s) Test
# Size                    MB/s
1                        0.019
2                        0.039
4                        0.079
8                        0.158
16                       0.313
32                       0.631
64                       1.256
128                      2.504
256                      5.001
512                     10.111
1024                    13.354
2048                    26.629
4096                    53.851
8192                   109.174
16384                  229.779
32768                  387.045
65536                  507.882
