# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
1                        0.015
2                        0.033
4                        0.067
8                        0.134
16                       0.268
32                       0.541
64                       1.085
128                      2.171
256                      4.336
512                      8.600
1024                    16.965
2048                    24.271
4096                    58.330
8192                    93.095
16384                  161.683
32768                  197.136
65536                  296.124
