# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 997  of event 'cycles:u'
# Event count (approx.): 912958816
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
    13.38%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
     9.37%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     9.29%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     8.10%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     5.69%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     5.16%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     4.91%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     1.87%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     1.39%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_ml_progress
     1.28%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     1.24%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     1.03%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     1.00%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     0.82%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.72%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress_events.isra.0
     0.66%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_pml_ucx_progress
     0.59%  prterun          libc-2.28.so                [.] _IO_strn_overflow
     0.58%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfscanf
     0.56%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626c6b
     0.52%  prterun          libc-2.28.so                [.] _int_malloc
     0.48%  prterun          libc-2.28.so                [.] __strlen_avx2
     0.46%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_grow
     0.44%  async            libc-2.28.so                [.] epoll_wait
     0.43%  async            libpthread-2.28.so          [.] __pthread_rwlock_rdlock
     0.42%  async            [unknown]                   [k] 0xffffffffb7905b73
     0.39%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_unlock_usercnt
     0.39%  prterun          ld-2.28.so                  [.] do_lookup_x
     0.38%  prterun          libc-2.28.so                [.] malloc
     0.37%  oshm_get_mr.exe  libc-2.28.so                [.] cfree@GLIBC_2.2.5
     0.36%  async            [unknown]                   [k] 0xffffffffb7e68816
     0.36%  async            [unknown]                   [k] 0xffffffffb790549e
     0.36%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] mca_spml_ucx_get
     0.35%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     0.34%  oshm_get_mr.exe  ld-2.28.so                  [.] strcmp
     0.34%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76f1450
     0.34%  async            [unknown]                   [k] 0xffffffffb7905c09
     0.34%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] opal_progress@plt
     0.33%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] wait_completion
     0.33%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] spml_ucx_default_progress
     0.33%  prterun          libc-2.28.so                [.] _IO_old_init
     0.32%  prterun          libc-2.28.so                [.] _int_free
     0.32%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_fgets
     0.31%  oshm_get_mr.exe  libc-2.28.so                [.] getenv
     0.30%  srun             [unknown]                   [k] 0xffffffffb7e55127
     0.30%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7907bae
     0.29%  async            libucs.so.0.0.0             [.] ucs_async_dispatch_handlers
     0.28%  async            [unknown]                   [k] 0xffffffffb76e5b7e
     0.28%  async            [unknown]                   [k] 0xffffffffb76f1450
     0.28%  async            libc-2.28.so                [.] _int_malloc
     0.26%  prterun          libc-2.28.so                [.] __strchrnul_avx2
     0.26%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.26%  oshm_get_mr.exe  libucm.so.0.0.0             [.] ucm_event_enter
     0.26%  prterun          libc-2.28.so                [.] unlink_chunk.isra.1
     0.26%  async            [unknown]                   [k] 0xffffffffb76f173b
     0.25%  oshm_get_mr.exe  libc-2.28.so                [.] 0x0000000000019396
     0.25%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_pointer_array_add
     0.24%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_comm_request_progress
     0.24%  async            [unknown]                   [k] 0xffffffffb7905b11
     0.23%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78501e0
     0.22%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_getline_info
     0.22%  oshm_get_mr.exe  libc-2.28.so                [.] _int_free
     0.22%  oshm_get_mr.exe  libc-2.28.so                [.] __GI_____strtoull_l_internal
     0.21%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_lock
     0.20%  async            [unknown]                   [k] 0xffffffffb7e685f2
     0.19%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55127
     0.19%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x0000000000005ab0
     0.19%  oshm_get_mr.exe  libc-2.28.so                [.] malloc_consolidate
     0.18%  oshm_get_mr.exe  libc-2.28.so                [.] __libc_calloc
     0.18%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.18%  oshm_get_mr.exe  libc-2.28.so                [.] __strncat_ssse3
     0.17%  oshm_get_mr.exe  libc-2.28.so                [.] malloc
     0.17%  async            [unknown]                   [k] 0xffffffffb7905b5c
     0.17%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001fd50
     0.16%  prterun          libc-2.28.so                [.] _IO_default_xsputn
     0.16%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.15%  async            [unknown]                   [k] 0xffffffffc03b43e0
     0.15%  async            [unknown]                   [k] 0xffffffffb8000157
     0.14%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc54
     0.14%  srun             libc-2.28.so                [.] __strchr_avx2
     0.14%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e5683
     0.14%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76f16d9
     0.14%  async            [unknown]                   [k] 0xffffffffb7905c0e
     0.14%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_runtime_resolve_xsavec
     0.14%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626cbe
     0.14%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626cb4
     0.14%  srun             libc-2.28.so                [.] __strncmp_avx2
     0.14%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001c110
     0.14%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_default_xsputn
     0.13%  async            libc-2.28.so                [.] _IO_vfwprintf
     0.13%  async            [unknown]                   [k] 0xffffffffc0476070
