# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 977  of event 'cycles:u'
# Event count (approx.): 933124532
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
     0.15%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] hwloc_bitmap_sscanf
     0.15%  oshm_get_mr.exe  libc-2.28.so                [.] _int_malloc
     0.15%  srun             libslurmfull.so             [.] _find_name_in_env
     0.14%  oshm_get_mr.exe  libc-2.28.so                [.] unlink_chunk.isra.1
     0.14%  oshm_get_mr.exe  libc-2.28.so                [.] malloc
     0.14%  oshm_get_mr.exe  hmca_bcol_ucx_p2p.so        [.] hmca_bcol_ucx_p2p_progress
     0.14%  async            [unknown]                   [k] 0xffffffffb7907680
     0.14%  async            libucs.so.0.0.0             [.] ucs_async_handler_dispatch
     0.14%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_srq_post_recv
     0.14%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001fb14
     0.14%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc5c
     0.14%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] mca_base_framework_close
     0.13%  async            [unknown]                   [k] 0xffffffffb76e61e3
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e969a
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9705
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e628d3
     0.13%  async            [unknown]                   [k] 0xffffffffb76f145b
     0.13%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78a61e7
     0.12%  oshm_get_mr.exe  [vdso]                      [.] 0x00000000000009c9
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7984c59
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb797c1c4
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d8b5e
     0.12%  async            libucs.so.0.0.0             [.] ucs_event_set_wait
     0.12%  async            [unknown]                   [k] 0xffffffffb7e685d7
     0.12%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001b77d
     0.12%  oshm_get_mr.exe  libc-2.28.so                [.] vfprintf
     0.11%  srun             libc-2.28.so                [.] __memset_avx2_unaligned_erms
     0.11%  oshm_get_mr.exe  libc-2.28.so                [.] __uflow
     0.11%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbce
