# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 933737319
#
# Overhead  Command          Shared Object               Symbol                                   
# ........  ...............  ..........................  .........................................
#
    12.92%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
    11.41%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     8.25%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     6.58%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     6.16%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     5.21%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     4.70%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     3.96%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     1.70%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     1.15%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     1.12%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.89%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] oshmem_mkey_recv_cb
     0.75%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_comm_request_progress
     0.74%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.71%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_coll_libnbc_progress
     0.69%  prterun          libc-2.28.so                [.] vfprintf
     0.69%  prterun          libc-2.28.so                [.] __strchrnul_avx2
     0.61%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.60%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_pml_ucx_progress
     0.60%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800001c
     0.59%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_fixup
     0.45%  oshm_get_mr.exe  libc-2.28.so                [.] _int_free
     0.45%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55127
     0.44%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc54
     0.40%  async            [unknown]                   [k] 0xffffffffb7e685f2
     0.39%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfscanf
     0.38%  async            [unknown]                   [k] 0xffffffffb7905ad0
     0.38%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     0.37%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_iface_mp_obj_init
     0.36%  async            [unknown]                   [k] 0xffffffffb7a1eb16
     0.35%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_ml_progress
     0.35%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_common_get_iface_attr_field
     0.35%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_request_check_status
     0.35%  async            [unknown]                   [k] 0xffffffffb76e5650
     0.34%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress_events.isra.0
     0.34%  async            [unknown]                   [k] 0xffffffffc0476070
     0.33%  async            [unknown]                   [k] 0xffffffffb76df2f9
     0.33%  oshm_get_mr.exe  libc-2.28.so                [.] getenv
     0.32%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9690
     0.32%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbf5
     0.31%  oshm_get_mr.exe  libc-2.28.so                [.] malloc
     0.31%  async            [unknown]                   [k] 0xffffffffb7905c60
     0.31%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     0.31%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_free
     0.30%  prterun          [unknown]                   [k] 0xffffffffb78d4abb
     0.29%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] mca_spml_ucx_get
     0.28%  prterun          libc-2.28.so                [.] malloc
     0.28%  prterun          libpmix.so.2.13.3           [.] pmix_pointer_array_init
     0.28%  oshm_get_mr.exe  libocoms.so.0.0.0           [.] ocoms_mca_base_var_group_get_internal
     0.28%  async            [unknown]                   [k] 0xffffffffc03b43e0
     0.27%  prterun          libc-2.28.so                [.] malloc_consolidate
     0.27%  prterun          libc-2.28.so                [.] _int_free
     0.26%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_apply_config_vars
     0.26%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000013
     0.26%  async            [unknown]                   [k] 0xffffffffb8000074
     0.26%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_grow
     0.25%  async            [unknown]                   [k] 0xffffffffb76e5683
     0.25%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ib_mlx5_fill_cq_common
     0.25%  async            [unknown]                   [k] 0xffffffffb76e9417
     0.25%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_mm_iface_recv_desc_init
