# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 983556114
#
# Overhead  Command          Shared Object               Symbol                                   
# ........  ...............  ..........................  .........................................
#
    12.21%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
    12.07%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     9.17%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     6.98%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     6.48%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     5.41%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     4.41%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     3.10%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     2.99%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     1.10%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     1.08%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     0.94%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.84%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.64%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_ml_progress
     0.64%  prterun          libc-2.28.so                [.] vfprintf
     0.46%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_lock
     0.44%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.44%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_grow
     0.44%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.42%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55127
     0.40%  prterun          libc-2.28.so                [.] _IO_default_xsputn
     0.38%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000010
     0.38%  oshm_get_mr.exe  libc-2.28.so                [.] _int_free
     0.38%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
