# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 965163344
#
# Overhead  Command          Shared Object               Symbol                                    
# ........  ...............  ..........................  ..........................................
#
    12.44%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
     8.53%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     8.47%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     7.92%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     6.42%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     6.24%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     5.12%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     3.31%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     2.25%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     1.37%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] progress
     1.33%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress_events.isra.0
     0.82%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     0.80%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     0.75%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.69%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] wait_completion
     0.66%  async            [unknown]                   [k] 0xffffffffb7e685f2
     0.65%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.64%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.61%  prterun          libc-2.28.so                [.] vfprintf
     0.59%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_grow
     0.55%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfscanf
     0.50%  oshm_get_mr.exe  libc-2.28.so                [.] malloc
     0.46%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_coll_libnbc_progress
     0.44%  oshm_get_mr.exe  libc-2.28.so                [.] getenv
     0.38%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_unlock_usercnt
     0.34%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_request_default_wait
     0.34%  oshm_get_mr.exe  libc-2.28.so                [.] __GI___printf_fp_l
     0.34%  async            [unknown]                   [k] 0xffffffffb7907391
     0.34%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_pml_ucx_progress
     0.33%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55127
     0.33%  oshm_get_mr.exe  ld-2.28.so                  [.] strcmp
     0.33%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     0.33%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626c6b
     0.32%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7738708
     0.31%  async            [unknown]                   [k] 0xffffffffb76f171d
     0.31%  prterun          libc-2.28.so                [.] _IO_strn_overflow
     0.31%  async            [unknown]                   [k] 0xffffffffb7e68491
     0.31%  async            [unknown]                   [k] 0xffffffffb7905ad7
     0.31%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_fgets
     0.30%  prterun          libc-2.28.so                [.] __strncmp_avx2
     0.28%  prterun          libprrte.so.4.0.0           [.] prte_get_job_data_object
     0.28%  srun             libslurmfull.so             [.] _find_name_in_env
     0.28%  oshm_get_mr.exe  libc-2.28.so                [.] cfree@GLIBC_2.2.5
     0.28%  prterun          libhwloc.so.5.7.6           [.] 0x000000000001817a
     0.28%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_request_check_status
     0.28%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_default_xsputn
     0.27%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55643
     0.27%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_tx_ops_init
     0.26%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc0f
     0.25%  prterun          [unknown]                   [k] 0xffffffffb784e258
     0.25%  prterun          libc-2.28.so                [.] __strchrnul_avx2
     0.25%  async            [unknown]                   [k] 0xffffffffb7905670
     0.24%  srun             libslurmfull.so             [.] _push_to_hashtbls
     0.24%  prterun          libc-2.28.so                [.] _IO_default_xsputn
     0.23%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] opal_progress@plt
     0.23%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.23%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.23%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_lock
     0.23%  async            [unknown]                   [k] 0xffffffffb76f1706
     0.23%  async            [unknown]                   [k] 0xffffffffb7905ad0
     0.22%  async            libc-2.28.so                [.] __sched_yield
     0.22%  prterun          libc-2.28.so                [.] _IO_vfscanf
     0.22%  prterun          libc-2.28.so                [.] __vsnprintf_chk
     0.22%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7907bc6
     0.21%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a1ea7f
     0.21%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ib_mlx5_fill_cq_common
     0.20%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9705
     0.20%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2f4
     0.20%  prterun          libc-2.28.so                [.] malloc_consolidate
     0.20%  oshm_get_mr.exe  libc-2.28.so                [.] _int_malloc
     0.20%  oshm_get_mr.exe  libc-2.28.so                [.] __libc_calloc
     0.19%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e68800
     0.19%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df320
     0.19%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9690
     0.18%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7855264
     0.18%  srun             libc-2.28.so                [.] __strcmp_avx2
     0.17%  async            [unknown]                   [k] 0xffffffffb7905c18
     0.17%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7945240
     0.17%  async            libucp.so.0.0.0             [.] ucp_wireup_add_amo_lanes
     0.16%  async            [unknown]                   [k] 0xffffffffb7905b3c
     0.16%  async            [unknown]                   [k] 0xffffffffb78d8dce
     0.16%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000010
     0.16%  prterun          ld-2.28.so                  [.] strcmp
     0.16%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_getline_info
     0.16%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] hwloc_bitmap_and
     0.15%  async            [unknown]                   [k] 0xffffffffb760418e
     0.15%  prterun          libc-2.28.so                [.] __rawmemchr_avx2
     0.15%  srun             ld-2.28.so                  [.] _dl_fixup
     0.15%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] oshmem_mkey_recv_cb
     0.15%  srun             libslurmfull.so             [.] _conf_hashtbl_index
     0.15%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_wireup_select_transport
     0.14%  oshm_get_mr.exe  libocoms.so.0.0.0           [.] ocoms_free_list_destruct
     0.14%  prterun          ld-2.28.so                  [.] do_lookup_x
     0.14%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_ib_iface_recv_desc_init
     0.13%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_mm_iface_t_cleanup
     0.13%  async            [unknown]                   [k] 0xffffffffb7e6569e
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e96ae
     0.13%  async            [unknown]                   [k] 0xffffffffb78d8b77
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e568c
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9697
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb772608e
     0.13%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbf5
     0.13%  prterun          libc-2.28.so                [.] __GI_____strtoull_l_internal
     0.12%  oshm_get_mr.exe  [vdso]                      [.] 0x00000000000009c9
     0.12%  oshm_get_mr.exe  hmca_bcol_ucx_p2p.so        [.] hmca_bcol_ucx_p2p_progress_fast
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e5563c
     0.12%  async            [unknown]                   [k] 0xffffffffc03b43e0
     0.11%  async            [unknown]                   [k] 0xffffffffb772591f
     0.11%  prterun          libpmix.so.2.13.3           [.] group_register
     0.11%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x0000000000007f2a
     0.11%  prterun          [unknown]                   [k] 0xffffffffb7e64978
     0.11%  async            [unknown]                   [k] 0xffffffffb7705398
     0.11%  oshm_get_mr.exe  libc-2.28.so                [.] __strspn_sse2
     0.11%  srun             libc-2.28.so                [.] build_trtable
     0.11%  srun             libc-2.28.so                [.] set_regs
     0.10%  oshm_get_mr.exe  libc-2.28.so                [.] unlink_chunk.isra.1
     0.10%  prterun          libc-2.28.so                [.] _int_malloc
     0.10%  prterun          libpmix.so.2.13.3           [.] var_get_env.isra.4
     0.10%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_common_get_iface_attr_field
     0.10%  async            [unknown]                   [k] 0xffffffffb8001d00
     0.10%  prterun          [unknown]                   [k] 0xffffffffb8001130
     0.10%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_mca_base_var_deregister
     0.10%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_perf_node_deref
     0.10%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_pmix_base_frame_open
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb787c7d5
     0.09%  prterun          [unknown]                   [k] 0xffffffffb78e08a8
     0.09%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_pml_ucx_convertor_construct
     0.09%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_perf_node_update_data
     0.09%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] PMIx_Deregister_event_handler
     0.09%  oshm_get_mr.exe  libibverbs.so.1.8.28.0      [.] 0x00000000000122d4
     0.09%  oshm_get_mr.exe  libc-2.28.so                [.] 0x000000000000e34e
     0.09%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x00000000000183a7
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d4aea
     0.09%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000023117
     0.09%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_decrease_refcount.part.4
     0.09%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_query_components
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800001c
     0.09%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc54
     0.09%  async            [unknown]                   [k] 0xffffffffb76e08aa
     0.09%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_pointer_array_add
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55628
     0.09%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_am_ep_init
     0.09%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_select_elem_init_thresh
     0.08%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_bfrops_base_pack_buffer
     0.08%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_iface_check_events
     0.08%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_verbs_iface_progress
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4f08f
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c4979
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] __strchr_avx2
     0.08%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] oshmem_group_cache_init
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc03b5ae1
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] __malloc_arena_thread_freeres
     0.08%  async            [unknown]                   [k] 0xffffffffb7905c09
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4e939
     0.08%  prterun          [unknown]                   [k] 0xffffffffb76d88ea
     0.08%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_ib_iface_fill_attr
     0.08%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_memtrack_is_enabled
