# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 1133341367
#
# Overhead  Command          Shared Object               Symbol                                   
# ........  ...............  ..........................  .........................................
#
    10.35%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
     8.24%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     7.78%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     7.49%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     6.98%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     6.68%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     5.89%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     5.33%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     4.70%  async            libpthread-2.28.so          [.] pthread_spin_lock
     3.13%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     1.20%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     1.10%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     0.96%  async            [unknown]                   [k] 0xffffffffb7e685f2
     0.73%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626c6b
     0.70%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.58%  oshm_get_mr.exe  hmca_bcol_ucx_p2p.so        [.] hmca_bcol_ucx_p2p_progress
     0.58%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.57%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.54%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_comm_request_progress
     0.54%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_ml_progress
     0.50%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_pml_ucx_progress
