# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 984406205
#
# Overhead  Command          Shared Object               Symbol                                   
# ........  ...............  ..........................  .........................................
#
     0.16%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_tcp_netif_is_default
     0.16%  async            libucs.so.0.0.0             [.] ucs_get_cpu_clocks_per_sec
     0.15%  oshm_get_mr.exe  libc-2.28.so                [.] unlink_chunk.isra.1
     0.14%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc52
     0.14%  oshm_get_mr.exe  libc-2.28.so                [.] malloc
     0.14%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78dc436
     0.14%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_unlock_usercnt
     0.14%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_no_init
     0.14%  prterun          libc-2.28.so                [.] __strcmp_avx2
     0.14%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb780da85
     0.14%  srun             libc-2.28.so                [.] create_token_tree.isra.14
     0.13%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_fgets
     0.13%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001b7cd
     0.13%  oshm_get_mr.exe  libc-2.28.so                [.] getenv
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8001130
     0.13%  oshm_get_mr.exe  libc-2.28.so                [.] _int_malloc
     0.13%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001b8f6
     0.13%  async            [unknown]                   [k] 0xffffffffb7905c4a
     0.13%  async            [unknown]                   [k] 0xffffffffb7905ad0
     0.13%  oshm_get_mr.exe  ld-2.28.so                  [.] check_match
     0.12%  prterun          libc-2.28.so                [.] __strchrnul_avx2
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e628a5
     0.12%  prterun          [unknown]                   [k] 0xffffffffb7e55127
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2cc
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800003b
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000043
     0.12%  async            [unknown]                   [k] 0xffffffffb76041ed
     0.12%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_grow
     0.12%  oshm_get_mr.exe  libc-2.28.so                [.] sscanf
     0.12%  oshm_get_mr.exe  libc-2.28.so                [.] __GI_____strtod_l_internal
     0.12%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_cstring_create_l
     0.11%  async            libucs.so.0.0.0             [.] ucs_string_buffer_reset
     0.11%  async            [unknown]                   [k] 0xffffffffb78d8b5e
     0.11%  async            [unknown]                   [k] 0xffffffffb7a1eae7
     0.11%  async            [unknown]                   [k] 0xffffffffb76e61e3
     0.11%  oshm_get_mr.exe  libc-2.28.so                [.] __dcigettext
     0.11%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.11%  async            [unknown]                   [k] 0xffffffffc03b4366
     0.11%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb784bf8d
     0.10%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_default_xsputn
     0.10%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_iface_is_reachable_v2
     0.10%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x0000000000034041
     0.10%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_getline_info
     0.10%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_class_initialize
     0.10%  async            [unknown]                   [k] 0xffffffffb7905c60
     0.10%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] hwloc_bitmap_sscanf
     0.10%  oshm_get_mr.exe  libc-2.28.so                [.] __GI_____strtoull_l_internal
     0.10%  prterun          [unknown]                   [k] 0xffffffffb7726d02
     0.10%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7887479
     0.10%  prterun          [unknown]                   [k] 0xffffffffb7944850
     0.10%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_wireup_select_transport
     0.10%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000023117
     0.10%  prterun          [unknown]                   [k] 0xffffffffb7945220
     0.09%  srun             libc-2.28.so                [.] realloc
     0.09%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_pgtable_get_next_page_order
     0.09%  async            [unknown]                   [k] 0xffffffffb8000152
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7982800
     0.09%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_lock
     0.09%  async            [unknown]                   [k] 0xffffffffb7705398
     0.09%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_pointer_array_set_item
     0.09%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbfa
     0.09%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_wireup_is_reachable
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb77fc54e
     0.09%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002a88c
     0.09%  oshm_get_mr.exe  libibverbs.so.1.8.28.0      [.] 0x0000000000012504
     0.09%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc12
     0.09%  async            [unknown]                   [k] 0xffffffffb79075b0
     0.09%  async            [unknown]                   [k] 0xffffffffb7905b08
     0.09%  prterun          libc-2.28.so                [.] __strlen_avx2
     0.08%  prterun          [unknown]                   [k] 0xffffffffb7e4da73
     0.08%  srun             libc-2.28.so                [.] sift_states_backward
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c614f
     0.08%  prterun          [unknown]                   [k] 0xffffffffb78a578b
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb761d52b
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78b16fc
     0.08%  async            libpthread-2.28.so          [.] __pthread_rwlock_unlock
