# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 988  of event 'cycles:u'
# Event count (approx.): 955455892
#
# Overhead  Command          Shared Object               Symbol                                               
# ........  ...............  ..........................  .....................................................
#
     0.17%  async            [unknown]                   [k] 0xffffffffc0476076
     0.16%  srun             libslurmfull.so             [.] slurm_hostlist_shift_dims
     0.16%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_fgets
     0.16%  oshm_get_mr.exe  ld-2.28.so                  [.] check_match
     0.16%  srun             [unknown]                   [k] 0xffffffffb7e55127
     0.15%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbf5
     0.15%  oshm_get_mr.exe  ld-2.28.so                  [.] strcmp
     0.15%  async            [unknown]                   [k] 0xffffffffb7905b3c
     0.15%  srun             libslurmfull.so             [.] _find_name_in_env
     0.15%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4ee86
     0.15%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] _init
     0.14%  async            [unknown]                   [k] 0xffffffffb7a1eb08
     0.14%  async            libucs.so.0.0.0             [.] ucs_async_thread_ev_handler
     0.14%  oshm_get_mr.exe  libc-2.28.so                [.] vfprintf
     0.14%  prterun          [unknown]                   [k] 0xffffffffb784e258
     0.13%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_add
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb799ca7a
     0.13%  async            [unknown]                   [k] 0xffffffffb7905c23
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a119e0
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e68800
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e6289b
     0.12%  prterun          [unknown]                   [k] 0xffffffffb78d50dc
     0.12%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ib_mlx5_fill_cq_common
     0.12%  async            libibverbs.so.1.8.28.0      [.] execute_ioctl
     0.12%  srun             ld-2.28.so                  [.] _dl_runtime_resolve_xsavec
     0.12%  oshm_get_mr.exe  libc-2.28.so                [.] __libc_calloc
     0.12%  async            libpthread-2.28.so          [.] __pthread_rwlock_rdlock
     0.11%  prterun          [unknown]                   [k] 0xffffffffb7a15cdf
     0.11%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76b748e
     0.11%  oshm_get_mr.exe  libc-2.28.so                [.] _mid_memalign
     0.11%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c5c71
     0.11%  oshm_get_mr.exe  libc-2.28.so                [.] cfree@GLIBC_2.2.5
     0.11%  prterun          [unknown]                   [k] 0xffffffffb797c19f
