# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 1107724765
#
# Overhead  Command          Shared Object               Symbol                                    
# ........  ...............  ..........................  ..........................................
#
    10.56%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
     9.88%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     8.00%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     7.44%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     7.33%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     6.31%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     5.67%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     4.99%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     3.56%  async            libpthread-2.28.so          [.] pthread_spin_lock
     2.42%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     0.96%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.86%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     0.80%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     0.71%  prterun          libc-2.28.so                [.] __strchrnul_avx2
     0.63%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_comm_request_progress
     0.57%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_ml_progress
     0.56%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] spml_ucx_default_progress
     0.56%  oshm_get_mr.exe  libc-2.28.so                [.] getenv
     0.54%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.51%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626c6b
     0.46%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.42%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.38%  prterun          libc-2.28.so                [.] _int_free
     0.35%  oshm_get_mr.exe  libc-2.28.so                [.] _int_malloc
     0.31%  prterun          libc-2.28.so                [.] vfprintf
     0.30%  async            [unknown]                   [k] 0xffffffffb7905670
     0.30%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e64978
     0.30%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] wait_completion
     0.30%  oshm_get_mr.exe  hmca_bcol_ucx_p2p.so        [.] hmca_bcol_ucx_p2p_progress
     0.30%  async            [unknown]                   [k] 0xffffffffb7905ad7
     0.30%  oshm_get_mr.exe  hmca_bcol_ucx_p2p.so        [.] hmca_bcol_ucx_p2p_connect_process
     0.30%  async            [unknown]                   [k] 0xffffffffb76f1457
     0.30%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_pml_ucx_progress
     0.29%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_value_array_set_size
     0.29%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] oshmem_mkey_recv_cb
     0.29%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_lock
     0.28%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_tag_rndv_offload_sw_proto_probe
     0.28%  async            [unknown]                   [k] 0xffffffffc0476070
     0.28%  async            [unknown]                   [k] 0xffffffffb7e685d8
     0.27%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_default_xsputn
     0.27%  async            [unknown]                   [k] 0xffffffffb7905b5c
     0.26%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     0.26%  prterun          libevent_core-2.1.so.6.0.2  [.] evsig_set_handler_
     0.25%  oshm_get_mr.exe  libc-2.28.so                [.] _int_free
     0.25%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_ml_progress_impl
     0.25%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbfc
     0.25%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] progress
     0.25%  prterun          libc-2.28.so                [.] cfree@GLIBC_2.2.5
     0.25%  async            [unknown]                   [k] 0xffffffffb78d8b77
     0.25%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55127
     0.23%  async            libpthread-2.28.so          [.] __pthread_rwlock_rdlock
     0.23%  async            libpthread-2.28.so          [.] __pthread_rwlock_unlock
     0.22%  oshm_get_mr.exe  ld-2.28.so                  [.] strcmp
     0.21%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e57927
     0.21%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_fixup
