# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 960115296
#
# Overhead  Command          Shared Object               Symbol                                    
# ........  ...............  ..........................  ..........................................
#
    12.60%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
     8.85%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     8.37%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     7.60%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     6.86%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     6.39%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     6.20%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     3.76%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     3.23%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     1.41%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     1.10%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.77%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626c6b
     0.73%  async            [unknown]                   [k] 0xffffffffb7e685f2
     0.72%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.56%  async            [unknown]                   [k] 0xffffffffb76f1457
     0.53%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     0.52%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     0.51%  async            [unknown]                   [k] 0xffffffffc03b43e0
     0.48%  async            [unknown]                   [k] 0xffffffffb7905c23
     0.47%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.46%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.45%  oshm_get_mr.exe  libc-2.28.so                [.] vfprintf
     0.42%  prterun          libc-2.28.so                [.] __strncmp_avx2
     0.41%  prterun          libc-2.28.so                [.] __strlen_avx2
     0.40%  prterun          libc-2.28.so                [.] vfprintf
     0.39%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e68800
