# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 997  of event 'cycles:u'
# Event count (approx.): 974460696
#
# Overhead  Command          Shared Object            Symbol                                    
# ........  ...............  .......................  ..........................................
#
     0.15%  prterun          libc-2.28.so             [.] _int_malloc
     0.15%  oshm_get_mr.exe  hmca_bcol_ucx_p2p.so     [.] hmca_bcol_ucx_p2p_connect_process
     0.14%  async            [unknown]                [k] 0xffffffffb8000076
     0.14%  async            [unknown]                [k] 0xffffffffb790557e
     0.14%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e68800
     0.14%  srun             libc-2.28.so             [.] _int_malloc
     0.14%  oshm_get_mr.exe  libucp.so.0.0.0          [.] ucp_wireup_add_tag_lane
     0.13%  oshm_get_mr.exe  ld-2.28.so               [.] _dl_runtime_resolve_xsavec
     0.13%  srun             libc-2.28.so             [.] __memset_avx2_unaligned_erms
     0.13%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb76f16d9
     0.13%  oshm_get_mr.exe  libibverbs.so.1.8.28.0   [.] 0x000000000000c082
     0.13%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7945220
     0.13%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e628a5
     0.13%  oshm_get_mr.exe  libopen-pal.so.0.0.0     [.] mca_base_var_group_add_var
     0.13%  oshm_get_mr.exe  libc-2.28.so             [.] __strspn_sse2
     0.13%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb76e568c
     0.13%  oshm_get_mr.exe  libhwloc.so.5.7.6        [.] 0x000000000001fd44
     0.13%  oshm_get_mr.exe  libhwloc.so.5.7.6        [.] 0x0000000000007e92
     0.13%  oshm_get_mr.exe  libmlx5.so.1.12.28.0     [.] 0x000000000002bbf5
     0.12%  async            [unknown]                [k] 0xffffffffb8201223
     0.12%  prterun          [unknown]                [k] 0xffffffffb7a0d4a1
     0.12%  oshm_get_mr.exe  libucs.so.0.0.0          [.] ucs_arch_x86_tsc_freq_measure
     0.12%  async            [unknown]                [k] 0xffffffffb7e68491
     0.12%  async            [unknown]                [k] 0xffffffffb7905b11
     0.11%  async            [unknown]                [k] 0xffffffffb76f1457
     0.11%  async            [unknown]                [k] 0xffffffffb7905ad0
     0.11%  oshm_get_mr.exe  libuct.so.0.0.0          [.] uct_worker_destroy
     0.11%  async            libucs.so.0.0.0          [.] ucs_async_thread_ev_handler
     0.11%  oshm_get_mr.exe  libucp.so.0.0.0          [.] ucp_address_get_uuid
     0.11%  async            [unknown]                [k] 0xffffffffb7907680
     0.11%  async            [unknown]                [k] 0xffffffffb800001c
     0.11%  oshm_get_mr.exe  libucs.so.0.0.0          [.] ucs_sys_cpuset_copy
