# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 947503536
#
# Overhead  Command          Shared Object               Symbol                                        
# ........  ...............  ..........................  ..............................................
#
     0.00%  srun             libslurmfull.so             [.] slurm_xrecalloc
     0.00%  srun             [unknown]                   [k] 0xffffffffb7736ce8
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78d99e7
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000006204
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000003016c
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ec5d
     0.00%  oshm_get_mr.exe  libucs.so.0.0.0             [.] posix_memalign@plt
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb780d3f1
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb785024e
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7cd2325
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e68816
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78d4abb
     0.00%  oshrun           [unknown]                   [k] 0xffffffffc16ec7a1
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002eb74
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb766ed89
     0.00%  prterun          libc-2.28.so                [.] __libc_thread_freeres
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7835ab5
     0.00%  prterun          [unknown]                   [k] 0xffffffffb784e2ee
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002eb97
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78501e0
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002e4d8
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78a3e83
     0.00%  prterun          libc-2.28.so                [.] __sched_cpufree
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002e4cc
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ec9e
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78501e5
     0.00%  prterun          libc-2.28.so                [.] 0x0000000000021a44
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002e6bb
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002eb92
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ebb5
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb76bdde2
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002e5fe
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002e663
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002eb77
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ebba
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ebc1
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ec55
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7623a11
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78444af
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb784c42f
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb784edf8
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb785024e
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb786f4b6
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7879eec
     0.00%  oshrun           [unknown]                   [k] 0xffffffffc170a885
     0.00%  prterun          libhwloc.so.5.7.6           [.] hwloc_bitmap_last
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002e574
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002e610
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002eb88
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002eb9a
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ebbd
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ec60
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002eca5
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ecc3
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ecc8
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7626b10
     0.00%  prterun          [unknown]                   [k] 0xffffffffb77390b7


#
# (Tip: Sample related events with: perf record -e '{cycles,instructions}:S')
#
