# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 947503536
#
# Overhead  Command          Shared Object               Symbol                                        
# ........  ...............  ..........................  ..............................................
#
     0.15%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x00000000000068c8
     0.15%  srun             ld-2.28.so                  [.] do_lookup_x
     0.15%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.15%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001c15f
     0.15%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_getline
     0.14%  async            [unknown]                   [k] 0xffffffffb790541f
     0.14%  prterun          libc-2.28.so                [.] _IO_vfscanf
     0.14%  srun             libc-2.28.so                [.] build_trtable
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb772596b
     0.13%  oshm_get_mr.exe  libc-2.28.so                [.] __correctly_grouped_prefixwc
     0.13%  prterun          libc-2.28.so                [.] __strchrnul_avx2
     0.13%  async            [unknown]                   [k] 0xffffffffb800001c
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000013
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a0d682
     0.12%  srun             libc-2.28.so                [.] __strcasecmp_l_avx
     0.12%  srun             libc-2.28.so                [.] _int_free
     0.12%  prterun          libc-2.28.so                [.] _int_malloc
     0.12%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_name_match_p
     0.12%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x0000000000006a64
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c6105
     0.12%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_find_dso_for_object
     0.11%  oshm_get_mr.exe  libevent_core-2.1.so.6.0.2  [.] event_callback_activate_nolock_
     0.11%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_topo_resolve_sysfs_path
     0.11%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] mca_base_var_generate_full_name4
     0.11%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_default_xsputn
     0.11%  prterun          [unknown]                   [k] 0xffffffffb7984b5f
     0.11%  prterun          ld-2.28.so                  [.] strcmp
     0.11%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76041c6
     0.11%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7856f53
     0.11%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] mca_base_alias_generate_name
     0.11%  prterun          [unknown]                   [k] 0xffffffffb76d1c34
     0.10%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] oshmem_mkey_recv_cb
     0.10%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_empty_function_return_success
     0.10%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_apply_config_vars
     0.10%  oshm_get_mr.exe  libc-2.28.so                [.] 0x0000000000001624
     0.10%  async            libucs.so.0.0.0             [.] ucs_async_dispatch_handlers
     0.10%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_ml_progress_impl
     0.10%  async            [unknown]                   [k] 0xffffffffb7e6286a
     0.10%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c5970
     0.10%  async            [unknown]                   [k] 0xffffffffb7e68800
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e632f0
     0.09%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_hash_table_init2
     0.09%  prterun          libc-2.28.so                [.] __strdup
     0.09%  async            [unknown]                   [k] 0xffffffffb7736cae
     0.09%  prterun          [unknown]                   [k] 0xffffffffb7823257
     0.09%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_relocate_object
     0.09%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc170a272
     0.09%  async            [unknown]                   [k] 0xffffffffb79839b3
     0.09%  async            [unknown]                   [k] 0xffffffffb78d8b55
     0.09%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_md_iface_config_read
     0.09%  prterun          libpthread-2.28.so          [.] __pthread_mutex_lock
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] __memchr_avx2
     0.08%  oshm_get_mr.exe  libucm.so.0.0.0             [.] ucm_bistro_apply_patch_atomic
     0.08%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_post_recv
     0.08%  async            [unknown]                   [k] 0xffffffffb7e68491
     0.08%  srun             ld-2.28.so                  [.] _dl_fixup
     0.08%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_hash_lookup_key
     0.08%  oshm_get_mr.exe  libibverbs.so.1.8.28.0      [.] 0x0000000000006bd4
     0.08%  srun             libc-2.28.so                [.] __memmove_avx_unaligned
     0.08%  oshm_get_mr.exe  hmca_bcol_ucx_p2p.so        [.] hmca_bcol_ucx_p2p_progress_fast
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_strn_overflow
     0.08%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_single_init
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] read
     0.08%  prterun          [unknown]                   [k] 0xffffffffb7e6569e
     0.08%  async            [unknown]                   [k] 0xffffffffb7e62ad9
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] __GI___printf_fp_l
     0.08%  async            libc-2.28.so                [.] 0x000000000000a8e6
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8001317
     0.08%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_old_init
     0.08%  async            [unknown]                   [k] 0xffffffffb7e68827
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9979
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78b167b
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb772308b
     0.08%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001b7ac
     0.08%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc12
     0.08%  async            [unknown]                   [k] 0xffffffffb7a1eb08
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55613
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e6289b
     0.07%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000028947
     0.07%  async            [unknown]                   [k] 0xffffffffb7905c09
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78873e2
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e57927
     0.07%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] oshmem_group_cache_destroy
     0.07%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_decrease_refcount.part.4
     0.07%  prterun          [unknown]                   [k] 0xffffffffb7844467
     0.07%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_coll_hcoll_init_query
     0.07%  async            [unknown]                   [k] 0xffffffffc03b4377
     0.07%  async            [unknown]                   [k] 0xffffffffb7905b73
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7900159
     0.07%  async            [unknown]                   [k] 0xffffffffb78d8e11
     0.07%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_srq_post_recv
     0.07%  oshm_get_mr.exe  [vdso]                      [.] 0x00000000000009c9
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc1717ca7
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76acf7e
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb760418e
     0.06%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_amo64_cswap_mtype_probe
     0.06%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_grow
     0.06%  prterun          libpmix.so.2.13.3           [.] pmix_util_keyval_yylex
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000085
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2b7
     0.06%  async            [unknown]                   [k] 0xffffffffb76e9920
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e969a
     0.06%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_init
     0.06%  prterun          libc-2.28.so                [.] __strncmp_avx2
     0.06%  oshm_get_mr.exe  [vdso]                      [.] __vdso_gettimeofday
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000043
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76dd52b
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e96ae
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e62860
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e628d3
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8001133
     0.06%  oshm_get_mr.exe  libpthread-2.28.so          [.] _pthread_cleanup_push_defer
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7887c91
     0.06%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc54
     0.06%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_arch_x86_tsc_freq_measure
     0.06%  prterun          libpmix.so.2.13.3           [.] pmix_path_find
     0.06%  oshm_get_mr.exe  libucm.so.0.0.0             [.] ucm_brk_syscall
     0.06%  prterun          [unknown]                   [k] 0xffffffffb78c6198
     0.06%  async            [unknown]                   [k] 0xffffffffb7a1eb11
     0.06%  prterun          libc-2.28.so                [.] __strncat_ssse3
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c9d5a
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76d88ea
     0.06%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002b1e6
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c4fdf
     0.05%  prterun          [unknown]                   [k] 0xffffffffb7e64978
     0.05%  prterun          libnuma.so.1.0.0            [.] 0x0000000000003cf3
     0.05%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_iface_mp_obj_init
     0.05%  prterun          [unknown]                   [k] 0xffffffffb797c1b8
     0.05%  prterun          [unknown]                   [k] 0xffffffffb7887501
     0.05%  prterun          [unknown]                   [k] 0xffffffffb78c9dd6
     0.05%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] client_connect_to_shmem2_from_buffi
     0.05%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_crc16
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d8dd7
     0.05%  async            libucs.so.0.0.0             [.] ucs_mpool_get_grow
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4f234
     0.05%  prterun          [unknown]                   [k] 0xffffffffb7944850
     0.05%  srun             libc-2.28.so                [.] re_compile_internal
     0.05%  prterun          libc-2.28.so                [.] _IO_vsscanf
     0.05%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_mm_iface_t_init
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78201d0
     0.05%  prterun          libc-2.28.so                [.] __memmove_avx_unaligned_erms
     0.05%  prterun          libpmix.so.2.13.3           [.] flex128_encode_int
     0.05%  prterun          [unknown]                   [k] 0xffffffffb7984a50
     0.05%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_check_resources
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55643
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0464dd6
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78dc551
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78ba750
     0.04%  srun             ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.04%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_hash_table_get_value_ptr
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7e632f5
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7855264
     0.04%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000029172
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7a0d483
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7e4de63
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78c63c2
     0.04%  prterun          ld-2.28.so                  [.] do_lookup_x
     0.04%  oshm_get_mr.exe  libc-2.28.so                [.] __GI_____strtod_l_internal
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7887501
     0.03%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] _intercept_madvise
     0.03%  oshrun           ld-2.28.so                  [.] do_lookup_x
     0.02%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e5563c
     0.02%  srun             ld-2.28.so                  [.] __GI___tunables_init
     0.02%  srun             ld-2.28.so                  [.] _dl_check_map_versions
     0.02%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78ffc02
     0.02%  prterun          [unknown]                   [k] 0xffffffffb766105c
     0.02%  prterun          [unknown]                   [k] 0xffffffffb784aa26
     0.02%  oshrun           [unknown]                   [k] 0xffffffffb7a0d664
     0.02%  prterun          libc-2.28.so                [.] __strcmp_avx2
     0.02%  prterun          [unknown]                   [k] 0xffffffffb7979ee5
     0.02%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4efd8
     0.02%  oshrun           mpirun                      [.] opal_util_keyval_yylex
     0.01%  oshrun           [unknown]                   [k] 0xffffffffb8001130
     0.01%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_file_underflow@@GLIBC_2.2.5
     0.01%  prterun          libpmix.so.2.13.3           [.] lookup_keyval.isra.51
     0.01%  prterun          [unknown]                   [k] 0xffffffffb772596b
     0.01%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000016a4c
     0.01%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000016a40
     0.01%  prterun          [unknown]                   [k] 0xffffffffb79452d2
     0.01%  prterun          libc-2.28.so                [.] __GI_____strtoull_l_internal
     0.01%  oshrun           ld-2.28.so                  [.] _dl_name_match_p
     0.01%  prterun          [unknown]                   [k] 0xffffffffb784e258
     0.01%  oshrun           ld-2.28.so                  [.] strcmp
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78d5120
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7e65680
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7984a5b
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8001130
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0d2b728
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c5b01
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a1eb11
     0.01%  prterun          [unknown]                   [k] 0xffffffffb76d88e3
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7984b39
     0.00%  oshm_get_mr.exe  libc-2.28.so                [.] __GI_____strtoull_l_internal
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e64978
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb79786f5
     0.00%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_create
     0.00%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_load_cache_lookup
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb772591d
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76682b2
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78caf21
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7855264
     0.00%  srun             libc-2.28.so                [.] __libc_readline_unlocked
     0.00%  prterun          libc-2.28.so                [.] __libc_calloc
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000a87
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ecc0
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e55127
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002e5fb
     0.00%  srun             [unknown]                   [k] 0xffffffffb7e68800
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7a1eb11
     0.00%  srun             libslurmfull.so             [.] check_header_version
     0.00%  srun             [unknown]                   [k] 0xffffffffb799bf59
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb76acf60
     0.00%  srun             libnss_files-2.28.so        [.] internal_getent
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb761d52b
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb784e28d
     0.00%  prterun          [unknown]                   [k] 0xffffffffc0e76c39
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7856b7d
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78a6d55
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78874a8
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55467
     0.00%  oshrun           ld-2.28.so                  [.] _dl_map_object_from_fd
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7984b88
     0.00%  prterun          libpmix.so.2.13.3           [.] _add_hdlr
     0.00%  prterun          [unknown]                   [k] 0xffffffffb784f92e
     0.00%  prterun          libevent_core-2.1.so.6.0.2  [.] event_del_nolock_
