# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 912193742
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
     0.15%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001b7ca
     0.15%  async            [unknown]                   [k] 0xffffffffb7905c7e
     0.15%  prterun          libc-2.28.so                [.] _IO_no_init
     0.15%  oshm_get_mr.exe  libc-2.28.so                [.] _int_free
     0.14%  prterun          libhwloc.so.5.7.6           [.] hwloc__xml_export_object
     0.14%  srun             srun                        [.] initialize_and_process_args
     0.14%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8001130
     0.14%  srun             libc-2.28.so                [.] sift_states_backward
     0.14%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a1eb11
     0.14%  prterun          libc-2.28.so                [.] _int_free
     0.13%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_default_xsputn
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df320
     0.13%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_create
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e632fc
     0.12%  async            [unknown]                   [k] 0xffffffffb76041ed
     0.12%  prterun          libc-2.28.so                [.] __rawmemchr_avx2
     0.12%  oshm_get_mr.exe  [vdso]                      [.] 0x00000000000009c9
     0.12%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc0f
     0.12%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_md_vfs_init
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76f173b
     0.12%  prterun          libc-2.28.so                [.] _IO_vfscanf
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c6214
     0.12%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc54
     0.12%  async            [unknown]                   [k] 0xffffffffb7e685d7
     0.11%  async            libucp.so.0.0.0             [.] ucp_wireup_is_reachable
     0.11%  async            [unknown]                   [k] 0xffffffffb76f1706
     0.11%  async            [unknown]                   [k] 0xffffffffb7e68491
     0.11%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_bitmap_bits_fns
     0.11%  async            [unknown]                   [k] 0xffffffffb76e568c
     0.11%  prterun          libc-2.28.so                [.] getenv
     0.11%  oshm_get_mr.exe  libc-2.28.so                [.] hack_digit
     0.11%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e57929
     0.11%  async            [unknown]                   [k] 0xffffffffb8000043
     0.10%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ib_mlx5_srq_buff_init
     0.10%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_remove_am_handlers
     0.10%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_map_object
     0.10%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000018300
     0.10%  srun             libc-2.28.so                [.] malloc_consolidate
     0.10%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_lifo_construct
     0.10%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0e76ea7
     0.10%  srun             libc-2.28.so                [.] build_charclass.isra.30
     0.10%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_rwlock_rdlock
     0.10%  prterun          [unknown]                   [k] 0xffffffffb7e68800
     0.10%  prterun          [unknown]                   [k] 0xffffffffb7747d3d
     0.10%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     0.10%  prterun          [unknown]                   [k] 0xffffffffb78c568a
