# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 970  of event 'cycles:u'
# Event count (approx.): 918836206
#
# Overhead  Command          Shared Object               Symbol                                   
# ........  ...............  ..........................  .........................................
#
    13.22%  oshm_get_mr.exe  libc-2.28.so                [.] buffered_vfprintf
    11.85%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_common_ucx_mca_pmix_fence
     8.31%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_part_persist_progress
     6.66%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_rc_mlx5_iface_progress_cyclic
     6.59%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_progress
     4.39%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_spin_lock
     3.91%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_progress
     3.81%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_worker_progress
     2.26%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] opal_timer_linux_get_cycles_sys_timer
     1.09%  prterun          libc-2.28.so                [.] __strlen_avx2
     0.94%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_pml_ucx_progress
     0.92%  oshm_get_mr.exe  ld-2.28.so                  [.] do_lookup_x
     0.88%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_rc_iface_t_cleanup
     0.72%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_coll_libnbc_progress
     0.70%  async            [unknown]                   [k] 0xffffffffb7e685f2
     0.70%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55127
     0.69%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.65%  oshm_get_mr.exe  libc-2.28.so                [.] _int_free
     0.65%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] hcoll_ml_progress
     0.63%  prterun          libc-2.28.so                [.] __strchrnul_avx2
     0.60%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800001c
     0.56%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335b1
     0.55%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] test
     0.47%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_cleanup
     0.47%  oshm_get_mr.exe  libpthread-2.28.so          [.] pthread_self@GLIBC_2.2.5
     0.44%  prterun          libc-2.28.so                [.] _IO_default_xsputn
     0.42%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfwprintf
     0.37%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8001130
     0.36%  oshm_get_mr.exe  libc-2.28.so                [.] getenv
     0.36%  oshm_get_mr.exe  libhcoll.so.1.0.8           [.] wait_completion
     0.36%  async            [unknown]                   [k] 0xffffffffb76e5b6f
     0.36%  async            [unknown]                   [k] 0xffffffffb7e628d3
     0.36%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_request_check_status
     0.36%  prterun          libc-2.28.so                [.] vfprintf
     0.34%  async            [unknown]                   [k] 0xffffffffb76e568c
     0.34%  async            [unknown]                   [k] 0xffffffffc03b43e0
     0.34%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000010
     0.33%  async            [unknown]                   [k] 0xffffffffb7905c09
     0.33%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_async_thread_add_timer
     0.32%  prterun          ld-2.28.so                  [.] _dl_find_dso_for_object
     0.30%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_fini
     0.29%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8001c20
     0.29%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_no_init
     0.28%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_wireup_select_transport
     0.27%  prterun          libc-2.28.so                [.] cfree@GLIBC_2.2.5
     0.25%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_fgets
     0.25%  async            [unknown]                   [k] 0xffffffffb76f147d
     0.25%  oshm_get_mr.exe  libc-2.28.so                [.] malloc
     0.23%  srun             libslurmfull.so             [.] _find_name_in_env
     0.23%  oshm_get_mr.exe  ld-2.28.so                  [.] strcmp
     0.23%  async            libc-2.28.so                [.] vfprintf
     0.22%  oshm_get_mr.exe  libc-2.28.so                [.] 0x00000000000196c2
     0.22%  async            [unknown]                   [k] 0xffffffffb76e93c9
     0.22%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.21%  prterun          libc-2.28.so                [.] malloc_consolidate
     0.21%  oshm_get_mr.exe  libc-2.28.so                [.] __GI_____strtoull_l_internal
     0.21%  prterun          libc-2.28.so                [.] unlink_chunk.isra.1
     0.20%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e628d3
     0.19%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9690
     0.19%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000013
     0.19%  async            [unknown]                   [k] 0xffffffffb7905c18
     0.18%  prterun          libc-2.28.so                [.] __vsprintf_chk
     0.18%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.18%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc0f
     0.18%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_default_xsputn
     0.17%  async            [unknown]                   [k] 0xffffffffb76e5683
     0.17%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_relocate_object
     0.17%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e96ae
     0.17%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_perf_node_deref
     0.17%  async            [unknown]                   [k] 0xffffffffb7905b11
     0.17%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] hwloc_bitmap_not
     0.17%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e48b96
     0.16%  async            [unknown]                   [k] 0xffffffffb7e685fa
     0.16%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vfscanf
     0.16%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_runtime_resolve_xsavec
     0.16%  oshm_get_mr.exe  libc-2.28.so                [.] unlink_chunk.isra.1
     0.16%  async            libc-2.28.so                [.] epoll_wait
     0.15%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_put
     0.15%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a1eb11
     0.15%  async            [unknown]                   [k] 0xffffffffb7e685e1
     0.15%  srun             libc-2.28.so                [.] __strcasecmp_l_avx
     0.15%  oshm_get_mr.exe  libc-2.28.so                [.] vfprintf
     0.15%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_fixup
     0.15%  prterun          ld-2.28.so                  [.] do_lookup_x
     0.14%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_getline_info
     0.14%  srun             libslurmfull.so             [.] hostlist_push_hr
     0.14%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_parser_release_opts
     0.14%  prterun          libc-2.28.so                [.] _IO_vfscanf
     0.14%  oshm_get_mr.exe  libc-2.28.so                [.] __GI___printf_fp_l
     0.14%  async            [unknown]                   [k] 0xffffffffb800001c
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0ea2f86
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df320
     0.13%  async            [unknown]                   [k] 0xffffffffb7e62aea
     0.13%  oshm_get_mr.exe  hmca_bcol_ucx_p2p.so        [.] hmca_bcol_ucx_p2p_connect_process
     0.13%  async            [unknown]                   [k] 0xffffffffb800019e
     0.13%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] PMPI_Allgatherv
     0.13%  async            [unknown]                   [k] 0xffffffffb7905653
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7887474
     0.13%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbf5
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2b0
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2b7
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800003b
     0.13%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e68800
     0.13%  oshm_get_mr.exe  [vdso]                      [.] 0x00000000000009c9
     0.12%  srun             [unknown]                   [k] 0xffffffffb7a1eb11
     0.12%  async            libucs.so.0.0.0             [.] ucs_async_thread_func
     0.12%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001b77d
     0.12%  oshm_get_mr.exe  libhwloc.so.5.7.6           [.] 0x000000000001b7ac
     0.12%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_iface_mp_obj_init
     0.12%  async            [unknown]                   [k] 0xffffffffc03b43b8
     0.12%  async            [unknown]                   [k] 0xffffffffb790541f
     0.12%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002a88c
     0.12%  prterun          libc-2.28.so                [.] __memchr_avx2
     0.12%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_post_recv
     0.12%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb788addb
     0.11%  async            [unknown]                   [k] 0xffffffffb7905ad0
     0.11%  prterun          [unknown]                   [k] 0xffffffffb78a577f
     0.11%  async            [unknown]                   [k] 0xffffffffb76e6179
     0.11%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc54
     0.11%  async            [unknown]                   [k] 0xffffffffc03b43ec
     0.11%  prterun          [unknown]                   [k] 0xffffffffb7888bea
     0.11%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_mpool_grow
     0.10%  prterun          libpmix.so.2.13.3           [.] shmem2_allocator_destruct
     0.10%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_create
     0.10%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e68827
     0.10%  oshm_get_mr.exe  libc-2.28.so                [.] _int_malloc
     0.10%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_async_progress
     0.10%  prterun          [unknown]                   [k] 0xffffffffb76682c1
     0.10%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb799b592
     0.10%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e57c7b
     0.10%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_mutex_lock
     0.10%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_malloc
     0.10%  async            [unknown]                   [k] 0xffffffffb7905c23
     0.09%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_perf_remote
     0.09%  prterun          libpmix.so.2.13.3           [.] pmix_bfrops_base_pack_buffer
