# OSU OpenSHMEM Put_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.203
2                        0.665
4                        1.632
8                        2.232
16                       4.382
32                       4.283
64                       6.876
128                     26.525
256                     52.662
512                     51.140
1024                   136.888
2048                   270.142
4096                   562.212
8192                   420.932
16384                  859.461
32768                 1266.207
65536                 1401.974
131072                1755.618
262144                2022.326
524288                2466.213
1048576               2814.365
2097152               2823.184
4194304               2814.800
