# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
1                        0.018
2                        0.045
4                        0.092
8                        0.185
16                       0.371
32                       0.737
64                       1.471
128                      2.935
256                      5.842
512                     11.403
1024                    22.808
2048                    40.714
4096                    77.303
8192                   119.457
16384                  187.485
32768                  277.778
65536                  345.380
131072                 527.026
262144                 771.605
524288                 818.786
1048576               1014.569
2097152               1020.273
4194304               1113.542
