# OSU OpenSHMEM Get_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.093
2                        0.330
4                        0.598
8                        1.690
16                       3.832
32                       6.463
64                      11.105
128                     14.477
256                     21.709
512                     31.457
1024                    62.632
2048                   296.287
4096                   403.205
8192                   423.212
16384                  670.026
32768                  715.103
65536                  568.079
131072                 511.038
262144                 454.034
524288                 457.231
1048576                465.129
2097152                465.276
4194304                465.280
