# OSU OpenSHMEM Put_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.088
2                        0.201
4                        0.522
8                        0.890
16                       1.644
32                       4.155
64                       6.977
128                     13.171
256                     30.022
512                     51.247
1024                    85.905
2048                   181.248
4096                   315.580
8192                   502.089
16384                  695.062
32768                  973.520
65536                 1283.895
131072                1467.825
262144                1783.421
524288                2053.557
1048576               2167.035
2097152               2230.301
4194304               2169.480
