# OSU OpenSHMEM Get_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.076
2                        0.271
4                        0.573
8                        1.174
16                       2.272
32                       5.935
64                      10.129
128                     16.241
256                     49.683
512                     84.771
1024                   157.054
2048                   347.408
4096                   507.569
8192                   348.772
16384                  495.403
32768                  612.985
65536                  709.582
131072                 813.378
262144                1216.900
524288                1313.715
1048576               1078.330
2097152               1091.346
4194304               1433.055
