# OSU OpenSHMEM Put Message Rate (MB/s) Test
# Size                    MB/s
1                        0.015
2                        0.040
4                        0.080
8                        0.159
16                       0.288
32                       0.642
64                       1.275
128                      2.495
256                      4.598
512                      9.996
1024                    19.645
2048                    33.560
4096                    52.851
8192                   103.313
16384                  190.363
32768                  283.936
65536                  420.649
