# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
1                        0.015
2                        0.032
4                        0.066
8                        0.131
16                       0.255
32                       0.523
64                       1.041
128                      2.064
256                      4.114
512                      8.235
1024                    16.348
2048                    31.140
4096                    44.483
8192                    65.050
16384                  174.347
32768                  188.503
65536                  230.067
