# OSU OpenSHMEM Put Message Rate (MB/s) Test
# Size                    MB/s
1                        0.018
2                        0.040
4                        0.080
8                        0.162
16                       0.322
32                       0.641
64                       1.288
128                      2.567
256                      5.168
512                      9.252
1024                    20.702
2048                    35.690
4096                    67.289
8192                   119.348
16384                  229.442
32768                  416.889
65536                  535.653
