# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
1                        0.015
2                        0.033
4                        0.067
8                        0.134
16                       0.267
32                       0.535
64                       1.059
128                      2.084
256                      4.149
512                      8.279
1024                    16.586
2048                    24.199
4096                    58.269
8192                    92.521
16384                  169.212
32768                  208.584
65536                  211.277
