# OSU OpenSHMEM Get_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.086
2                        0.374
4                        0.627
8                        1.592
16                       3.178
32                       6.554
64                      14.574
128                     29.231
256                     50.969
512                    105.826
1024                   195.626
2048                   339.674
4096                   594.197
8192                   469.501
16384                  691.984
32768                 1048.658
65536                 1266.207
