# OSU OpenSHMEM Get_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.111
2                        0.411
4                        0.881
8                        1.804
16                       3.722
32                       8.001
64                      14.879
128                     28.534
256                     53.120
512                    101.514
1024                   205.679
2048                   363.575
4096                   604.870
8192                   505.336
16384                  668.306
32768                  940.698
65536                 1103.460
