# OSU OpenSHMEM Put_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.093
2                        0.306
4                        0.575
8                        1.207
16                       2.125
32                       5.749
64                      10.923
128                     21.304
256                     45.178
512                     90.759
1024                   190.512
2048                   316.757
4096                   474.175
8192                   444.397
16384                  836.456
32768                 1130.608
65536                 1335.470
