# OSU OpenSHMEM Put Message Rate (MB/s) Test
# Size                    MB/s
1                        0.017
2                        0.041
4                        0.083
8                        0.166
16                       0.332
32                       0.664
64                       1.321
128                      2.619
256                      5.139
512                      6.267
1024                    14.873
2048                    34.936
4096                    67.692
8192                   116.431
16384                  226.187
32768                  408.070
65536                  488.205
