# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
1                        0.015
2                        0.032
4                        0.065
8                        0.130
16                       0.263
32                       0.525
64                       1.056
128                      2.109
256                      4.254
512                      8.322
1024                    16.736
2048                    31.893
4096                    61.041
8192                    81.755
16384                  165.695
32768                  241.238
65536                  365.839
