# OSU OpenSHMEM Put_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.128
2                        0.591
4                        1.293
8                        2.515
16                       4.408
32                       9.934
64                      17.174
128                     35.280
256                     77.950
512                    152.397
1024                   289.609
2048                   577.165
4096                   913.102
8192                   773.515
16384                 1061.481
32768                 1324.153
65536                 1484.561
131072                1709.986
262144                2065.774
524288                2522.195
1048576               2735.828
2097152               2756.720
4194304               2846.003
