# OSU OpenSHMEM Get_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.041
2                        0.100
4                        0.316
8                        1.091
16                       2.340
32                       2.692
64                       7.978
128                      9.206
256                     15.189
512                     26.283
1024                    71.334
2048                    90.155
4096                   164.821
8192                   263.047
16384                  263.047
32768                  420.479
65536                  400.436
131072                 716.579
262144                 676.993
524288                 419.224
1048576                431.771
2097152                419.940
4194304                892.869
