# OSU OpenSHMEM Get Message Rate (MB/s) Test
# Size                    MB/s
1                        0.018
2                        0.046
4                        0.091
8                        0.181
16                       0.363
32                       0.721
64                       1.442
128                      2.871
256                      5.750
512                     11.486
1024                    23.596
2048                    40.809
4096                    75.744
8192                   103.614
16384                  188.662
32768                  253.488
65536                  425.807
131072                 593.261
262144                 695.526
524288                 848.954
1048576               1017.853
2097152               1044.637
4194304               1106.439
