# OSU OpenSHMEM Put Message Rate (MB/s) Test
# Size                    MB/s
1                        0.019
2                        0.039
4                        0.079
8                        0.156
16                       0.308
32                       0.629
64                       1.230
128                      2.473
256                      4.972
512                      9.959
1024                    19.900
2048                    32.485
4096                    62.672
8192                   114.151
16384                  209.002
32768                  342.428
65536                  487.596
131072                 660.118
262144                 908.430
524288                1076.797
1048576               1337.793
2097152               1561.231
4194304               1690.503
