# OSU OpenSHMEM Get_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.126
2                        0.620
4                        1.272
8                        2.475
16                       4.863
32                       9.327
64                      18.285
128                     39.327
256                     75.679
512                    144.206
1024                   267.405
2048                   431.534
4096                   795.894
8192                   638.276
16384                  800.461
32768                 1079.075
65536                 1238.605
