# OSU OpenSHMEM Put_nb Message Rate (MB/s) Test
# Size                    MB/s
1                        0.060
2                        0.239
4                        0.472
8                        0.879
16                       2.652
32                       5.289
64                      15.374
128                     26.864
256                     46.186
512                     89.462
1024                   229.996
2048                   371.741
4096                   454.744
8192                   377.051
16384                  619.057
32768                  810.846
65536                 1070.205
