# OSU OpenSHMEM Put Message Rate (MB/s) Test
# Size                    MB/s
1                        0.020
2                        0.036
4                        0.079
8                        0.159
16                       0.314
32                       0.635
64                       1.268
128                      2.516
256                      5.045
512                     10.087
1024                    20.606
2048                    22.750
4096                    45.496
8192                   110.816
16384                  226.646
32768                  405.423
65536                  552.608
